CMPD_CHEMBLID,CANONICAL_SMILES,pKi
CHEMBL2315235,C[C@H]1CN2CC(=O)Nc3ccc(C[C@@H](NS(=O)(=O)Cc4ccccc4)C(=O)N[C@@H](Cc5ccc(NC(=O)CN1C[C@@H]2C)cc5)C(=O)NCc6ccc(cc6)C(=N)N)cc3,5.07007044
CHEMBL164376,NC(=N)c1cccc(c1)C(=O)N[C@@H](C(=O)NCc2ccccc2)c3ccccc3,5.070581074
CHEMBL156367,COC(=O)CC(CCc1cccc(c1)C(=N)N)c2cccc(c2)C(=N)N,5.070581074
CHEMBL3978994,OC(=O)[C@H]1Cc2ccc(NC(=O)CN3CCN(CC3)CC(=O)Nc4ccc(C[C@H](NS(=O)(=O)Cc5ccccc5)\C(=N/1)\O)cc4)cc2,5.075720714
CHEMBL3978994,OC(=O)[C@H]1Cc2ccc(NC(=O)CN3CCN(CC3)CC(=O)Nc4ccc(C[C@H](NS(=O)(=O)Cc5ccccc5)\C(=N/1)\O)cc4)cc2,5.075720714
CHEMBL318112,CCOCC1(CC(=NO1)c2cccc(c2)C(=N)N)C(=O)Nc3ccc(cn3)c4ccccc4S(=O)(=O)N,5.075720714
CHEMBL231494,NCc1ccc(Cl)cc1CNC(=O)CNC(=O)C(CCc2cccc[n+]2[O-])NS(=O)(=O)CC(=O)O,5.080921908
CHEMBL180695,Clc1ccc(s1)c2onc(Cn3c(cc4ccccc34)C(=O)NC5CCN(CC5)C6CC6)c2,5.085128182
CHEMBL2159271,NC(=[NH2+])c1ccc(CNC(=O)CCNS(=O)(=O)c2cccc(c2)C(=[NH2+])N)cc1,5.086186148
CHEMBL3780434,COCC1CN(CC2CCN(Cc3ccccc3)CC2)C(=O)N(C1)c4cccc(c4)C(=N)N,5.091514981
CHEMBL92609,CC1(CC(=NO1)c2cccc(c2)C(=N)N)C(=O)Nc3ccc(cn3)c4ccccc4S(=O)(=O)N,5.091514981
CHEMBL597797,NCC(=O)N1CCC[C@H]1C(=O)NCc2cccc(Cl)c2,5.092588639
CHEMBL2315241,NC(=N)c1ccc(CNC(=O)[C@@H]2Cc3cccc(NC(=O)CN4CCN(CC4)CC(=O)Nc5ccc(C[C@@H](NS(=O)(=O)Cc6ccccc6)C(=O)N2)cc5)c3)cc1,5.095988116
CHEMBL146940,CCOC(=O)C(Oc1ccc2CCN(Cc2c1)C(=N)N)c3ccc(OC4CCN(CC4)C(=N)N)cc3,5.096910013
CHEMBL227498,NCCCCCCCCCCCC(=O)N1CCN(CC1)C(=O)[C@H](CCCNC(=N)N)NS(=O)(=O)c2cccc3ccccc23,5.096910013
CHEMBL20733,NC(=N)N1CCC(CCOC(=O)[C@H](NC(=O)c2cccc(c2)C(=N)N)c3ccccc3)CC1,5.096910013
CHEMBL156472,CNC(=O)CC(CCc1ccc(cc1)C(=N)N)c2cccc(c2)C(=N)N,5.096910013
CHEMBL359695,Nc1noc2ccc(cc12)n3nc(cc3C(=O)Nc4ccc(cc4F)C(=O)N5CCCC5)C(F)(F)F,5.096910013
CHEMBL357832,CCOC(=O)C(Oc1ccc2CCN(Cc2c1)C(=N)N)c3ccc(OC4CCOCC4)cc3,5.096910013
CHEMBL412448,Cc1cccc(C(=O)Nc2ccc(cc2)C(=N)N)c1O,5.096910013
CHEMBL350632,NC(=N)c1cccc(c1)C(=O)N[C@@H](C(=O)N2CCN(CC2)C(=O)c3ccccc3)c4ccccc4,5.100179498
CHEMBL163112,NC(=N)c1cccc(c1)C(=O)N[C@@H](C(=O)N2CCN(Cc3ccccc3)CC2)c4ccccc4,5.100179498
CHEMBL377737,CCOP(=O)(F)CCCCCCCCCC(=O)NCCOCCOCCOCCOCCOCCOCCOCCNC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12,5.102372909
CHEMBL3114857,CCOc1cc(ccc1OC(C)C)C(Nc2ccc3c(N)nccc3c2)C(=O)NCc4cccc(N)c4,5.102372909
CHEMBL124834,Nc1cc(ccc1Cl)n2nnnc2C(=O)Nc3ccc(cn3)c4ccccc4S(=O)(=O)N,5.102372909
CHEMBL48029,C(Cc1ccc(OCc2ccccc2)cc1)Nc3ccncc3,5.102372909
CHEMBL28439,CC1(C)CNc2c(C1)cccc2S(=O)(=O)N[C@@H](Cc3nc4ccccc4s3)C(=O)N5CCC(CCC(=O)O)CC5,5.106238238
CHEMBL3114856,CCOc1cc(ccc1OC(C)C)C(Nc2ccc3c(N)nccc3c2)C(=O)NCc4cccc(O)c4,5.107905397
CHEMBL593482,OCc1ncc2CN(C3CCN(CC3)C(=O)CCS(=O)(=O)c4ccc5cc(Cl)ccc5c4)C(=O)n12,5.107905397
CHEMBL3114851,CCOc1cc(ccc1OC(C)C)C(Nc2ccc3c(N)nccc3c2)C(=O)NCc4ccccc4,5.107905397
CHEMBL327331,NC(=N)c1cccc(c1)C2=NOC(Cn3cnnn3)(C2)C(=O)Nc4ncc(cn4)c5ccccc5S(=O)(=O)N,5.113509275
CHEMBL156765,COC(=O)CC(CCc1ccc(N)cc1)c2cccc(c2)C(=N)N,5.113509275
CHEMBL233992,Clc1ccc(s1)C(=O)N[C@@H]2CCC[C@@H]2NC(=O)c3ccc(cc3)N4C=CC=CC4=O,5.11577123
CHEMBL123264,NC(=N)NOCCCOc1cc(Cl)cc(c1)C(=O)N2CCOCC2,5.118045029
CHEMBL2159395,NC(=[NH2+])c1cccc(c1)S(=O)(=O)NCC(=O)NC2CCCCC2,5.119186408
CHEMBL397679,[O-][n+]1ccccc1CCC(NS(=O)(=O)Cc2ccccc2)C(=O)NCC(=O)NCc3cc(Cl)ccc3Cl,5.119186408
CHEMBL64579,NC(=N)c1ccc2[nH]c(cc2c1)c3cccc(OC4CCCC4)c3O,5.124938737
CHEMBL60831,CC(C)COc1cccc(c1O)c2cc3cc(ccc3[nH]2)C(=N)N,5.124938737
CHEMBL261646,CN(C1CCN(CC1)c2ccnc(C)c2)C(=O)CCS(=O)(=O)c3ccc4cc(Cl)ccc4c3,5.124938737
CHEMBL127909,NC(=N)c1cc2cc([nH]c2cc1F)c3cccc(c3O)c4ccccc4,5.124938737
CHEMBL2159290,CC(C)(C)OC(=O)c1cccc(NC(=O)CNS(=O)(=O)c2cccc(c2)C(=[NH2+])N)c1,5.13076828
CHEMBL2159364,NC(=[NH2+])c1ccc(CNC(=O)CCCNS(=O)(=O)c2ccc(cc2)C(=[NH2+])N)cc1,5.13076828
